,KIC
0,757099
1,757450
2,892195
3,892203
4,892718
5,892772
6,892832
7,892834
8,892882
9,893033
10,893286
11,893305
12,893383
13,893559
14,893730
15,1025578
16,1025986
17,1026146
18,1026165
19,1026287
20,1026328
21,1026474
22,1026957
23,1026992
24,1027277
25,1027330
26,1027710
27,1027740
28,1027842
29,1027900
30,1028018
31,1028354
32,1160660
33,1160947
34,1161345
35,1161432
36,1161620
37,1162051
38,1162222
39,1162466
40,1162467
41,1162725
42,1163090
43,1163303
44,1163712
45,1163994
46,1164071
47,1164102
48,1164356
49,1164583
50,1293861
51,1293946
52,1293993
53,1294088
54,1294214
55,1294535
56,1294567
57,1294648
58,1294869
59,1294953
60,1295069
61,1295162
62,1295195
63,1295276
64,1295289
65,1295333
66,1295375
67,1296281
68,1296491
69,1296787
70,1297058
71,1297166
72,1297303
73,1297347
74,1429092
75,1429153
76,1429367
77,1429475
78,1429575
79,1429626
80,1429893
81,1429921
82,1429977
83,1430330
84,1430349
85,1430511
86,1430865
87,1431075
88,1431116
89,1431122
90,1431134
91,1431287
92,1431693
93,1432022
94,1432060
95,1432086
96,1432091
97,1432248
98,1432278
99,1432469
100,1432551
101,1432700
102,1432745
103,1432847
104,1433040
105,1433104
106,1433642
107,1433755
108,1433894
109,1433899
110,1433962
111,1434116
112,1434277
113,1434288
114,1434326
115,1434455
116,1434708
117,1434976
118,1435260
119,1436140
120,1569897
121,1569909
122,1569924
123,1569985
124,1570099
125,1570400
126,1570529
127,1570554
128,1570608
129,1570617
130,1570649
131,1570711
132,1570924
133,1571003
134,1571364
135,1572038
136,1572220
137,1572433
138,1572558
139,1572725
140,1572895
141,1573094
142,1573742
143,1573967
144,1574524
145,1574944
146,1575422
147,1575424
148,1575580
149,1575855
150,1575893
151,1576108
152,1576141
153,1576312
154,1576351
155,1576497
156,1576623
157,1576648
158,1576739
159,1576744
160,1576782
161,1576789
162,1576877
163,1576970
164,1577221
165,1577315
166,1701692
167,1717285
168,1717465
169,1717515
170,1717672
171,1717717
172,1717722
173,1717999
174,1718189
175,1718367
176,1718456
177,1718550
178,1718831
179,1718958
180,1719124
181,1719166
182,1719358
183,1719371
184,1719927
185,1720182
186,1720196
187,1720673
188,1721157
189,1721439
190,1721879
191,1722134
192,1722289
193,1722303
194,1722506
195,1722623
196,1722627
197,1723157
198,1723350
199,1723411
200,1723529
201,1723845
202,1723908
203,1723919
204,1723978
205,1723993
206,1724096
207,1724629
208,1724720
209,1724806
210,1724842
211,1724975
212,1725133
213,1725310
